distance_m,speed_kmh,engine,elevation_m,corner_cap_kmh
772.8,26.86,0,204.00,55.0
773.8,26.87,0,203.99,55.0
774.8,26.88,0,203.98,55.0
775.8,26.90,0,203.98,55.0
776.8,26.92,0,203.97,55.0
777.8,26.93,0,203.96,55.0
778.8,26.96,0,203.95,55.0
779.8,26.98,0,203.94,55.0
780.8,27.01,0,203.93,55.0
781.8,27.02,0,203.92,55.0
782.8,27.05,0,203.91,55.0
783.8,27.08,0,203.90,55.0
784.8,27.11,0,203.89,55.0
785.8,27.13,0,203.88,55.0
786.8,27.15,0,203.87,55.0
787.8,27.17,0,203.86,55.0
788.8,27.19,0,203.85,55.0
789.8,27.21,0,203.84,55.0
790.8,27.23,0,203.83,55.0
791.8,27.25,0,203.82,55.0
792.8,27.26,0,203.81,55.0
793.8,27.27,0,203.81,55.0
794.8,27.31,0,203.79,55.0
795.8,27.33,0,203.78,55.0
796.8,27.35,0,203.77,55.0
797.8,27.38,0,203.76,55.0
798.8,27.40,0,203.75,55.0
799.8,27.43,0,203.74,55.0
800.8,27.44,0,203.73,55.0
801.8,27.47,0,203.72,55.0
802.8,27.49,0,203.71,55.0
803.8,27.51,0,203.71,55.0
804.8,27.52,0,203.70,55.0
805.8,27.53,0,203.69,55.0
806.8,27.55,0,203.68,55.0
807.8,27.57,0,203.67,55.0
808.8,27.58,0,203.66,55.0
809.8,27.61,0,203.65,55.0
810.8,27.63,0,203.64,55.0
811.8,27.65,0,203.63,55.0
812.8,27.67,0,203.62,55.0
813.8,27.69,0,203.61,55.0
814.8,27.71,0,203.60,55.0
815.8,27.73,0,203.59,55.0
816.8,27.75,0,203.58,55.0
817.8,27.78,0,203.57,55.0
818.8,27.79,0,203.57,55.0
819.8,27.80,0,203.56,55.0
820.8,27.82,0,203.55,55.0
821.8,27.84,0,203.54,55.0
822.8,27.86,0,203.53,55.0
823.8,27.88,0,203.52,55.0
824.8,27.89,0,203.51,55.0
825.8,27.91,0,203.50,55.0
826.8,27.93,0,203.49,55.0
827.8,27.95,0,203.48,55.0
828.8,27.97,0,203.47,55.0
